Saquon Barkley,PHI,RB,355.3
Derrick Henry,BLT,RB,336.4
Jahmyr Gibbs,DET,RB,362.9
Lamar Jackson,BLT,QB,430.4
Ja'Marr Chase,CIN,WR,403.0
Bijan Robinson,ATL,RB,341.7
Josh Jacobs,GB,RB,293.1
Josh Allen,BUF,QB,379.0
Joe Burrow,CIN,QB,372.8
Kyren Williams,LAR,RB,272.1
James Cook,BUF,RB,266.7
Justin Jefferson,MIN,WR,317.5
Baker Mayfield,TB,QB,365.8
Jonathan Taylor,IND,RB,244.7
George Kittle,SF,TE,236.6
Jayden Daniels,WAS,QB,355.8
De'Von Achane,MIA,RB,299.9
Amon-Ra St. Brown,DET,WR,316.2
Brian Thomas,JAX,WR,284.0
Brock Bowers,LV,TE,262.7
James Conner,ARI,RB,253.8
Joe Mixon,HST,RB,240.5
Terry McLaurin,WAS,WR,267.8
Trey McBride,ARI,TE,249.8
Chase Brown,CIN,RB,255.0
Drake London,ATL,WR,280.8
Chuba Hubbard,CAR,RB,241.6
Jonnu Smith,MIA,TE,222.3
Mark Andrews,BLT,TE,188.8
Bucky Irving,TB,RB,244.4
Alvin Kamara,NO,RB,265.3
Aaron Jones,MIN,RB,241.6
Jared Goff,DET,QB,324.5
David Montgomery,DET,RB,221.7
Mike Evans,TB,WR,240.4
Breece Hall,NYJ,RB,240.9
Malik Nabers,NYG,WR,273.6
Bo Nix,DEN,QB,317.2
Jalen Hurts,PHI,QB,315.1
CeeDee Lamb,DAL,WR,263.4
Sam LaPorta,DET,TE,174.6
Courtland Sutton,DEN,WR,240.3
Ladd McConkey,LAC,WR,240.9
Tucker Kraft,GB,TE,163.3
Zach Ertz,WAS,TE,177.4
Davante Adams,LAR,WR,241.3
Sam Darnold,MIN,QB,308.0
Jameson Williams,DET,WR,212.2
D'Andre Swift,CHI,RB,214.5
Jaxon Smith-Njigba,SEA,WR,253.0
Jerry Jeudy,CLV,WR,240.9
Garrett Wilson,NYJ,WR,251.9
Najee Harris,PIT,RB,204.6
Jordan Addison,MIN,WR,212.5
A.J. Brown,PHI,WR,216.9
Tee Higgins,CIN,WR,222.1
Pat Freiermuth,PIT,TE,168.3
Kyler Murray,ARI,QB,297.2
Travis Kelce,KC,TE,195.4
Nico Collins,HST,WR,210.6
Jayden Reed,GB,WR,197.0
J.K. Dobbins,LAC,RB,191.8
Tony Pollard,TEN,RB,200.7
Rico Dowdle,DAL,RB,197.8
D.J. Moore,CHI,WR,238.1
Tyreek Hill,MIA,WR,218.2
Zay Flowers,BLT,WR,209.5
Marvin Harrison Jr.,ARI,WR,196.5
Calvin Ridley,TEN,WR,199.2
Jauan Jennings,SF,WR,210.5
Justin Herbert,LAC,QB,285.4
DeVonta Smith,PHI,WR,199.4
Jakobi Meyers,LV,WR,218.0
Patrick Mahomes,KC,QB,283.0
Brock Purdy,SF,QB,266.9
Geno Smith,SEA,QB,266.0
Aaron Rodgers,NYJ,QB,256.6
Caleb Williams,CHI,QB,254.5
Jordan Love,GB,QB,233.9
C.J. Stroud,HST,QB,220.4
Matthew Stafford,LAR,QB,214.6
Bryce Young,CAR,QB,195.0
