Ja'Marr Chase,25,1,72,201,99,LSU,4,CIN,WR
Josh Allen,29,17,77,237,99,Wyoming,7,BUF,QB
Justin Jefferson,26,18,73,195,99,LSU,5,MIN,WR
Lamar Jackson,28,8,74,210,99,Louisville,7,BLT,QB
Lane Johnson,35,65,78,325,99,Oklahoma,12,PHI,RT
Myles Garrett,29,95,76,272,99,Texas AM,8,CLV,RE
Saquon Barkley,28,26,72,227,99,Penn State,7,PHI,HB
Derrick Henry,31,22,75,247,98,Alabama,9,BLT,HB
George Kittle,31,85,76,250,98,Iowa,8,SF,TE
Micah Parsons,26,11,75,245,98,Penn State,4,DAL,LE
Chris Jones,31,95,78,310,97,Mississippi St.,9,KC,DT
Dexter Lawrence II,27,97,76,342,97,Clemson,6,,DT
Fred Warner,28,54,75,230,97,BYU,7,SF,MLB
Joe Burrow,28,9,76,215,97,LSU,5,CIN,QB
Patrick Surtain II,25,2,74,202,97,Alabama,4,DEN,CB
Trent Williams,37,71,77,320,97,Oklahoma,15,SF,LT
Amon-Ra St. Brown,25,14,72,195,96,USC,4,DET,WR
Jordan Mailata,28,68,80,365,96,No College,7,PHI,LT
Maxx Crosby,28,98,77,255,96,Eastern Michigan,6,LV,LE
Penei Sewell,24,58,78,325,96,Oregon,4,DET,RT
T.J. Watt,30,90,76,252,96,Wisconsin,8,PIT,LE
Tristan Wirfs,26,78,77,320,96,Iowa,5,TB,LT
CeeDee Lamb,26,88,74,200,95,Oklahoma,5,DAL,WR
Christian Gonzalez,23,0,74,201,95,Oregon,2,NE,CB
Derrick Brown,27,95,77,320,95,Auburn,5,CAR,DT
Jahmyr Gibbs,23,0,69,199,95,Alabama,2,DET,HB
Jessie Bates III,28,3,73,200,95,Wake Forest,7,ATL,FS
Nick Bosa,27,97,76,266,95,Ohio State,6,SF,LE
Patrick Mahomes,29,15,74,225,95,Texas Tech,8,KC,QB
Quinn Meinerz,26,77,75,320,95,Wisc-Whitewater,4,DEN,RG
Tyreek Hill,31,10,70,191,95,West Alabama,9,MIA,WR
Cameron Heyward,36,97,77,295,94,Ohio State,14,PIT,DT
Chris Lindstrom,28,63,75,307,94,Boston College,6,ATL,RG
Christian McCaffrey,29,23,71,205,94,Stanford,8,SF,HB
Creed Humphrey,27,52,76,302,94,Oklahoma,4,KC,C
Jalen Ramsey,30,5,73,208,94,Florida State,9,PIT,CB
Laremy Tunsil,31,78,77,313,94,Ole Miss,9,WAS,LT
Roquan Smith,28,0,73,232,94,Georgia,7,BLT,MLB
Sauce Gardner,25,1,75,200,94,Cincinnati,3,,CB
Terry McLaurin,29,17,72,210,94,Ohio State,6,WAS,WR
Trent McDuffie,24,22,71,193,94,Washington,3,KC,CB
A.J. Brown,28,11,73,226,93,Ole Miss,6,PHI,WR
Aidan Hutchinson,25,97,78,265,93,Michigan,3,DET,LE
Derek Stingley Jr,24,24,72,190,93,LSU,3,HST,CB
Derwin James Jr,29,3,74,215,93,Florida State,7,LAC,SS
Joe Thuney,32,62,77,304,93,N.C. State,9,CHI,LG
Mike Evans,32,13,77,231,93,Texas AM,11,TB,WR
Nnamdi Madubuike,27,92,75,293,93,Texas AM,5,BLT,DT
Rashawn Slater,26,70,76,315,93,Northwestern,4,LAC,LT
Travis Kelce,35,87,77,250,93,Cincinnati,12,KC,TE
Vita Vea,30,50,76,347,93,Washington,7,TB,DT
Xavier McKinney,26,29,72,201,93,Alabama,5,GB,SS
Bijan Robinson,23,7,71,215,92,Texas,2,ATL,HB
Budda Baker,29,3,70,195,92,Washington,8,ARI,SS
Christian Darrisaw,26,71,77,315,92,Virginia Tech,4,MIN,LT
Jeffery Simmons,28,98,76,305,92,Mississippi St.,6,TEN,DT
Marlon Humphrey,29,44,72,205,92,Alabama,8,BLT,CB
Minkah Fitzpatrick,28,29,73,207,92,Alabama,7,MIA,FS
Quenton Nelson,29,56,77,330,92,Notre Dame,7,IND,LG
Trey Hendrickson,30,91,76,270,92,FAU,8,CIN,RE
Trey McBride,25,85,76,246,92,Colorado St.,3,ARI,TE
Antoine Winfield Jr,27,31,69,203,91,Minnesota,5,TB,FS
Bobby Wagner,35,54,72,242,91,Utah State,13,WAS,MLB
Danielle Hunter,30,55,77,263,91,LSU,10,HST,RE
Dion Dawkins,31,73,77,320,91,Temple,8,BUF,LT
Drake London,24,5,76,213,91,USC,3,ATL,WR
Jaire Alexander,28,23,70,196,91,Louisville,7,BLT,CB
Joe Mixon,29,28,73,220,91,Oklahoma,8,HST,HB
Kevin Zeitler,35,70,76,339,91,Wisconsin,13,TEN,RG
Mark Andrews,29,89,77,247,91,Oklahoma,7,BLT,TE
Quinnen Williams,27,95,75,303,91,Alabama,6,,DT
Brock Bowers,22,89,75,243,90,Georgia,1,LV,TE
Davante Adams,32,17,73,215,90,Fresno State,11,LAR,WR
Demario Davis,36,56,74,248,90,Arkansas St.,13,NO,MLB
Denzel Ward,28,21,71,190,90,Ohio State,7,CLV,CB
Jalen Carter,24,98,75,314,90,Georgia,2,PHI,DT
Josh Hines-Allen,28,41,77,255,90,Kentucky,6,JAX,RE
Josh Jacobs,27,8,70,220,90,Alabama,6,GB,HB
Kerby Joseph,24,31,73,200,90,Illinois,3,DET,FS
Kyle Hamilton,24,14,76,221,90,Notre Dame,3,BLT,SS
Ronnie Stanley,31,79,78,315,90,Notre Dame,9,BLT,LT
Trey Smith,26,65,78,321,90,Tennessee,4,KC,RG
Brian Branch,23,32,72,190,89,Alabama,2,DET,SS
David Njoku,29,85,76,246,89,Miami,8,CLV,TE
DeVonta Smith,26,6,72,170,89,Alabama,4,PHI,WR
Erik McCoy,28,78,76,303,89,Texas AM,6,NO,C
Garett Bolles,33,72,77,300,89,Utah,8,DEN,LT
James Cook,25,4,71,190,89,Georgia,3,BUF,HB
Jaylon Johnson,26,1,72,196,89,Utah,5,CHI,CB
Nico Collins,26,12,76,215,89,Michigan,4,HST,WR
Will Anderson Jr,23,51,76,263,89,Alabama,2,HST,LE
A.J. Terrell Jr,26,24,73,195,88,Clemson,5,ATL,CB
Alex Highsmith,28,56,76,242,88,Charlotte,5,PIT,RE
Andrew Thomas,26,78,77,315,88,Georgia,5,,LT
DeForest Buckner,31,99,79,295,88,Oregon,9,IND,DT
Devon Witherspoon,24,21,72,180,88,Illinois,2,SEA,CB
Greg Rousseau,25,50,78,266,88,Miami,4,BUF,LE
Harrison Smith,36,22,74,211,88,Notre Dame,13,MIN,FS
Jonathan Taylor,26,28,70,226,88,Wisconsin,5,IND,HB
Jonathan Allen,30,93,75,300,88,Alabama,8,MIN,DT
Kenneth Walker III,24,9,69,211,88,Michigan St.,3,SEA,HB
Kenny Moore II,30,23,69,190,88,Valdosta St.,8,IND,CB
Kyle Juszczyk,34,44,74,235,88,Harvard,12,SF,FB
Landon Dickerson,26,69,78,332,88,Alabama,4,PHI,LG
Lavonte David,35,54,73,233,88,Nebraska,13,TB,MLB
Matthew Stafford,37,9,75,220,88,Georgia,16,LAR,QB
Puka Nacua,24,12,73,206,88,BYU,2,LAR,WR
Stefon Diggs,31,8,72,191,88,Maryland,10,NE,WR
T.J. Hockenson,28,87,77,248,88,Iowa,6,MIN,TE
Tyler Smith,24,73,78,332,88,Tulsa,3,DAL,LG
Tyler Linderbaum,25,64,74,305,88,Iowa,3,BLT,C
Zack Baun,28,53,74,225,88,Wisconsin,5,PHI,ROLB
Brandon Aubrey,30,17,75,200,87,Notre Dame,3,DAL,K
Brandon Aiyuk,27,11,72,200,87,Arizona St.,5,SF,WR
Bucky Irving,23,7,70,195,87,Oregon,1,TB,HB
Charvarius Ward,29,7,73,196,87,Mid Tenn St.,7,IND,CB
Dallas Goedert,30,88,77,256,87,S. Dakota St.,7,PHI,TE
DaRon Bland,26,26,72,197,87,Fresno State,3,DAL,CB
